;;;;;
;; RESULTADO DE JULGAMENTO - PROPOSTAS  APROVADAS PARA CONTRATAÇÃO;;;
;;Edital 21/2008 - Programa Primeiros Projetos;;;
;;;;;
ATENÇÃO : Todas as instituições que tiverem propostas aprovadas deverão atualizar seu credenciamento na FAPEMIG até 10 dias corridos da publicação dos resultados, sob pena de desclassificação das propostas.  A situação cadastral das instituições poderá ser verificada no endereço : http://www.fapemig.br/cadastro/;;;;;
;;;;;
;;;;;
;;;;;
#;PROC.;COORDENADOR;TÍTULO;INSTITUIÇÃO; VALOR 
1; APQ-00002-09; Ricardo Costa Val Do Rosário; Predictive Lower Limb Amputation In Mangled Extremities Of Preoperative Tumor Necrocis Factor (Tnf) And Soluble Tumor Necrocis Factor Receptor Type I (Stnf-Ri) ; FHEMIG;21.000,00
2; APQ-00006-09; Daniela Franco Carvalho Jacobucci; Abrindo O Tubo De Ensaio: Estudo Sobre O Ensino E A Divulgação Científica Em Microbiologia No Brasil; UFU;13.675,98
3; APQ-00011-09; Márcio Santos Rocha; Aplicações De Técnicas Ópticas Em Problemas Biologicamente Motivados; UFV;29.885,63
4; APQ-00013-09; Luana Caroline Dos Santos; Efetividade Da Escola Integrada No Perfil Nutricional E De Saúde De Escolares De Belo Horizonte, Minas Gerais., Escola Municipal Do Distrito Sanitário Leste, Belo Horizonte, Minas Gerais; UFMG;20.666,84
5; APQ-00023-09; Maíra Figueiredo Goulart; Fenologia Dos Campos Rupestres E Influência Das Mudanças Climáticas Globais; UFVJM;22.929,69
6; APQ-00042-09; Júlia Yamagishi Costa; Citotaxonomia E Evolução De Plantas Do Cerrado; UFU;23.751,00
7; APQ-00044-09; José Jean-Paul Zanlucchi De Souza Tavares; Projeto De Pesquisa De Desenvolvimento De Um Sistema De Localização Por Tempo Real Baseado Em Rfid E Rede De Petri; UFU;28.875,00
8; APQ-00049-09; Cristiano Lopes Andrade; Sistemática De Ciidae (Coleoptera: Tenebrionoidea) Das Regiões Neotropical E Andina; UFV;23.753,10
9; APQ-00051-09; Flaviana Dornela Verli; Quantificação De Mastócitos Em Feridas Cirúrgicas Bucais Submetidas À Aplicação Tópica De Própolis; UFVJM;29.995,77
10; APQ-00054-09; Maria Inácia Estêvão Costa; Transcriptoma Da Glândula Venenífera De Serpente Do Gênero Bothrops Ssp.: Construção De Um Catálogo De Etiquetas De Seqüências Expressas (Ests) Para Identificação De Toxinas Potencialmente Envolvidas Em Processos Fisiopatológicos; FUNED;22.134,00
11; APQ-00055-09; Adriana Pastorello Buim Arena; Leitura Digital: Implicações Para A Pesquisa Escolar; UFU;6.773,03
12; APQ-00058-09; Gláucia Manzan Queiroz De Andrade; Triagem Neonatal Para Toxoplasmose Congênita No Estado De Minas Gerais – Aspectos Epidemiológicos Da Infecção; UFMG;20.790,00
13; APQ-00061-09; Antonio Carlos Sant Ana; Síntese De Nanoestruturas Metálicas Para Análise De Absorbatos Metálicos Por Espectroscopia Raman Intensificada Pela Superfície; UFJF;29.998,50
14; APQ-00098-09; Roberta Maia De Castro Romanelli; Ocorrência Da Infecção Por Leishmania Spp. Em Candidatos Ao Transplante De Fígado, Pâncreas E Rim E Seus Doadores; UFMG;22.939,15
15; APQ-00127-09; Evaldo Henrique Da Silva; Sistemas Setoriais De Inovação E Padrões De Mudança Tecnológica E De Concorrência Das Indústrias De Alta Tecnologia Do Estado De Minas Gerais: Microevidências E Novos Fundamentos Para As Políticas Públicas De Desenvolvimento Industrial ; UFV;25.087,42
